ツイートID,ツイート時刻,ツイート本文,いいね数,リツイート数,ID,ユーザー名,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分のフォロー状況,アイコン画像URL,ヘッダー画像URL,WEBサイト
1577519932111491072,2022-10-05_13:43:55,RT @ennbundaizi123: この時点で #kitfes62_i　やってる時点で勝負決まっただろ,0,1,1511053500696133632,Lute_kyutech_jk,Lute,知的 先進機械 b2 v研 当分低浮上です この人物は実在しません,189,171,2022-04-05_03:50:18,True,http://pbs.twimg.com/profile_images/1571513737798094848/grjaLXNI_normal.jpg,,
1577516721208188928,2022-10-05_13:31:09,"#kitfes62_i
こんなんやるんだ(･д･｡)",0,0,1512252279188951040,adanagaimomushi,きゃた@ぽんこつ,jk1 Ⅱ ぽんこつ,214,210,2022-04-08_11:13:50,False,http://pbs.twimg.com/profile_images/1573383943839436801/sLRMIcTr_normal.jpg,,
1577516343569526784,2022-10-05_13:29:39,この時点で #kitfes62_i　やってる時点で勝負決まっただろ,5,1,860399587059576832,ennbundaizi123,ソル÷トん=1,"(無言フォロー失礼します)

いい加減進路決めろ俺

ボドゲ、RoDEP所属(幽霊)

自称進学校出身：KIT 情報工 
3年になった

 ⅢB→知的：ロボティクス

牛丼屋勤務、そろそろ勤めて1年",311,241,2017-05-05_16:43:41,True,http://pbs.twimg.com/profile_images/1266792599014109185/1Ixmc11R_normal.jpg,,
1577516266272608256,2022-10-05_13:29:21,"#kitfes62_i
こんなのあるんや
豪華景品ってなんなのやろな〜",2,0,1146595496691036161,rijin_music,リジン,jk1 Ⅱクラ/C3/V研（新設）/D＆D(新設)/CAMの民/しがない雪民/基本無言フォー/マチ先輩を推す,313,293,2019-07-04_10:44:03,False,http://pbs.twimg.com/profile_images/1528631522915364864/955WaDEZ_normal.jpg,,
1577515918019956736,2022-10-05_13:27:58,"#kitfes62_i 
こっちは数が違うよ〜",1,0,736086277313830912,ss110_hp39,S,Kyutech JK B4 電子物理 軽音|Ageha|珈琲 アイコン→@pl_ck_,528,491,2016-05-27_15:46:59,True,http://pbs.twimg.com/profile_images/1426724327479595008/_XBDfRC0_normal.jpg,,
1577514995646361602,2022-10-05_13:24:18,"#kitfes62_i
がんばろーねー",3,0,1505469455781879808,broccobrother,ぶろ🥦,"KIT JK3 B1 Ⅴクラス。
D&D部長（新設）/カメラ部/C3/珈琲同好/ボドゲ/スマブラ/生協/工大祭/執行　　　　　　　　　　　
　　　一生天邪鬼",427,376,2022-03-20_18:01:11,True,http://pbs.twimg.com/profile_images/1573300087576735745/3CDot09K_normal.png,,https://t.co/OwmTUqWgos
1577514969104384001,2022-10-05_13:24:12,"Twitterでは情報工が勝ってインスタでは工学が勝ちそう（偏見）
#kitfes62_i
#kitfes62_t",2,0,860399587059576832,ennbundaizi123,ソル÷トん=1,"(無言フォロー失礼します)

いい加減進路決めろ俺

ボドゲ、RoDEP所属(幽霊)

自称進学校出身：KIT 情報工 
3年になった

 ⅢB→知的：ロボティクス

牛丼屋勤務、そろそろ勤めて1年",311,241,2017-05-05_16:43:41,True,http://pbs.twimg.com/profile_images/1266792599014109185/1Ixmc11R_normal.jpg,,
1577514780436631553,2022-10-05_13:23:27,"#kitfes62_i
で会場内の画像を1分間隔でツイートすればいいってことですか",2,0,964127057419497473,shun_k_tech,ぐえたんだよぉ⚓🌟,九工大 ロボティクス B3/ RoboCupSSL GreenTea AI班/ RoDEP部長/ ロボトレース/ JE6XAG 3アマ/FE/電工2種/ https://t.co/utCGcrzjPu  @gyokuron0501 ※このアカウントでの発言は個人所属する団体・組織とは無関係ですのでご注意ください。,2147,1201,2018-02-15_22:19:37,False,http://pbs.twimg.com/profile_images/1462125260698898434/ysKHrQen_normal.jpg,,https://t.co/2TNHxeGjy9
1577513481808793605,2022-10-05_13:18:17,"他のKITの学生をどれだけ仲間にできるかで勝敗が決まるらしい（大嘘）
#kitfes62_i
#kitfes62_t",2,0,1500752915426070528,Tython_17,たいそん,#たいそんのめも,268,253,2022-03-07_17:39:23,False,http://pbs.twimg.com/profile_images/1563584691177148417/WOOyUjbB_normal.jpg,,
1577511976154300416,2022-10-05_13:12:18,"RT @88_Hedgehog: #kitfes62_i
投稿数なら飯塚ツイ廃多いから勝てそうね、俺は少ししかしないけど",0,1,1052932001588604928,wairoku1231,Hiro in 青ぱか,swh→KIT JK1 →メディア情報 急にリプします,465,359,2018-10-18_23:38:46,False,http://pbs.twimg.com/profile_images/1200972833028890624/rLMz9ZFr_normal.jpg,,
